Product_ID,Product_Name,Category,Supplier,Demand_Index,Current_Stock_Qty,Stock_After_Sales,Reorder_Level,Purchase_Price,Selling_Price,Discount_%,Revenue,Profit
P00001,Sports Shoes,Men,Premium Textile Ltd,156,91,51,50,666,980,10,35280,8640
P00002,Leather Belt,Men,FashionKart Supplies,409,171,86,152,969,1412,15,102017,19652
P00003,Casual T-Shirt,Women,FashionKart Supplies,493,296,138,182,221,573,15,76953.9,42035.9
P00004,Kids Wear Set,Men,Premium Textile Ltd,108,189,126,57,389,934,25,44131.5,19624.5
P00005,Silk Saree,Kids,FashionKart Supplies,369,150,0,200,1040,1306,5,186105,30105
P00006,Woolen Jacket,Men,FashionKart Supplies,63,261,248,38,1097,1536,15,16972.8,2711.8
P00007,Sports Shoes,Men,FashionKart Supplies,480,54,0,227,1225,1714,25,69417,3267
P00008,Ladies Top,Women,TexFab Traders,240,237,99,123,1195,1564,25,161874,-3036
P00009,Sports Shoes,Men,Global Cloth House,345,232,83,132,416,767,15,97140.55,35156.55
P00010,Kids Wear Set,Men,Premium Textile Ltd,350,84,0,88,847,1418,10,107200.8,36052.8
P00011,Silk Saree,Men,FashionKart Supplies,212,280,161,120,400,827,15,83651.05,36051.05
P00012,Denim Jeans,Men,FashionKart Supplies,456,81,0,237,883,1342,25,81526.5,10003.5
P00013,Silk Saree,Men,Premium Textile Ltd,150,150,77,30,702,1056,25,57816,6570
P00014,Sports Shoes,Kids,TexFab Traders,256,34,0,121,1063,1393,0,47362,11220
P00015,Woolen Jacket,Men,FashionKart Supplies,437,241,48,172,1394,1522,15,249684.1,-19357.9
P00016,Sports Shoes,Kids,Premium Textile Ltd,135,85,15,71,1212,1445,15,85977.5,1137.5
P00017,Woolen Jacket,Women,Global Cloth House,380,147,17,241,389,713,0,92690,42120
P00018,Kids Wear Set,Kids,Global Cloth House,170,135,43,42,909,1464,10,121219.2,37591.2
P00019,Kids Wear Set,Women,TexFab Traders,274,253,172,123,1456,1735,0,140535,22599
P00020,Cotton Shirt,Women,FashionKart Supplies,317,132,64,135,312,413,5,26679.8,5463.8
P00021,Casual T-Shirt,Kids,TexFab Traders,273,244,164,80,1353,1505,15,102340,-5900
P00022,Ladies Top,Women,FashionKart Supplies,296,222,135,135,966,1359,20,94586.4,10544.4
P00023,Woolen Jacket,Women,Global Cloth House,444,259,22,165,1347,1633,25,290265.75,-28973.25
P00024,Silk Saree,Kids,FashionKart Supplies,452,166,0,169,688,1204,5,189870.8,75662.8
P00025,Leather Belt,Men,Premium Textile Ltd,490,170,0,180,462,813,5,131299.5,52759.5
P00026,Kids Wear Set,Men,Global Cloth House,434,273,90,161,1383,1491,0,272853,19764
P00027,Silk Saree,Kids,FashionKart Supplies,257,150,8,99,1343,1603,15,193482.1,2776.1
P00028,Cotton Shirt,Women,FashionKart Supplies,389,273,138,248,298,550,20,59400,19170
P00029,Denim Jeans,Women,Global Cloth House,243,182,112,140,360,527,0,36890,11690
P00030,Formal Trousers,Kids,Premium Textile Ltd,450,147,0,182,1154,1624,25,179046,9408
P00031,Sports Shoes,Women,Global Cloth House,207,57,0,130,226,551,20,25125.6,12243.6
P00032,Cotton Shirt,Kids,FashionKart Supplies,366,166,90,153,1272,1388,15,89664.8,-7007.2
P00033,Formal Trousers,Women,Premium Textile Ltd,429,252,7,186,696,1097,20,215012,44492
P00034,Silk Saree,Men,FashionKart Supplies,240,272,143,111,1479,1901,5,232967.55,42176.55
P00035,Kids Wear Set,Women,Premium Textile Ltd,103,77,33,32,825,1212,25,39996,3696
P00036,Sports Shoes,Women,Premium Textile Ltd,204,292,241,112,445,720,20,29376,6681
